soc,ocv
0.0016531964549704686, 10.734321956871213
0.011732216694057341, 10.811985036772919
0.020894962365954502, 10.88686249687901
0.03005770803785167, 10.961071408234154
0.04196927741131798, 11.032522555991642
0.057545945053543164, 11.104437973715065
0.07495516183014775, 11.180689672920327
0.09419692774113178, 11.251890114896208
0.11435496821930557, 11.322391619541554
0.13451300869747929, 11.380737692351495
0.15467104917565305, 11.430878848672538
0.1748290896538268, 11.465825715199326
0.19498713013200056, 11.50229201070554
0.21514517061017432, 11.539366077803525
0.23530321108834815, 11.573705172738542
0.25546125156652183, 11.605005409714709
0.2756192920446956, 11.639648390445611
0.29577733252286936, 11.67641857174771
0.3159353730010431, 11.716227611008659
0.33609341347921684, 11.75846773663669
0.3562514539573906, 11.805873920794768
0.37640949443556443, 11.857230620299353
0.3965675349137381, 11.89278525841791
0.4167255753919119, 11.911322291966902
0.4368836158700857, 11.937760356208907
0.4570416563482594, 11.973922765919236
0.47719969682643304, 12.002184144936551
0.4973577373046069, 12.020721178485543
0.5175157777827807, 12.047767014319318
0.5376738182609545, 12.089399368355577
0.5578318587391283, 12.126169549657677
0.5779898992173019, 12.156254243450302
0.5981479396954759, 12.18816225201824
0.6183059801736495, 12.226755748095648
0.6384640206518232, 12.259879299847126
0.658622061129997, 12.278720219192003
0.6787801016081707, 12.300296110699847
0.6989381420863445, 12.3379779493896
0.7190961825645182, 12.373836473304044
0.739254223042692, 12.403617281300784
0.7594122635208658, 12.43370197509341
0.7795703039990394, 12.465002212069578
0.7997283444772133, 12.496910220637513
0.819886384955387, 12.532160972960188
0.8400444254335607, 12.570146697445827
0.8602024659117345, 12.603270249197303
0.8803605063899081, 12.635482143561125
0.9005185468680823, 12.668605695312602
0.9206765873462558, 12.704464219227045
0.9408346278244294, 12.74093051473326
0.9609926683026033, 12.77435795228062
0.981150708780777, 12.795326072196694
0.9967273764230022, 12.810722952521541
